HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
0,3,0,1,0,0,0,0
16229,19775,16128,13713,14721,16242,15810,15277
78,63,64,91,48,41,71,24
8,1,12,18,0,4,2,5
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
5412,6421,4758,6223,6120,5789,7351,5922
1,1,2,5,3,1,2,2
0,0,0,0,0,0,0,0
1,1,1,4,3,2,0,1
9,16,22,22,21,16,14,19
154,172,207,201,327,183,66,257
5,8,4,1,1,2,1,1
2,4,3,1,0,4,1,1
0,0,0,0,0,0,0,0
30,37,30,48,32,29,21,31
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
126,140,121,155,149,122,85,119
0,0,0,0,0,0,0,0
1,4,0,2,0,0,0,2
30,20,22,26,31,27,20,34
0,2,0,0,0,0,0,0
53,38,46,55,45,49,26,54
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4,6,8,5,6,3,4,5
1,6,6,2,7,6,5,1
23,23,15,15,16,23,22,20
0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0
2,6,0,5,5,6,2,5
0,0,0,0,0,0,0,0
0,1,1,1,3,1,0,0
0,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
31,86,74,79,95,83,61,74
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4,2,1,8,2,5,1,2
330,414,376,443,513,401,280,410
1074,1151,982,1409,1292,1087,963,1107
1,3,0,4,0,4,1,0
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
9,5,6,10,8,8,19,5
0,0,0,0,0,0,0,0
0,0,1,2,2,0,1,0
8,2,1,0,0,1,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10,4,5,5,3,3,6,5
0,0,0,0,0,0,1,0
4249,4988,4402,6358,4707,3829,2361,2599
8594,7978,7953,8542,8503,7936,6957,6981
0,1,0,0,0,0,0,1
65,62,41,116,48,55,51,54
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
2,1,0,0,0,1,0,0
0,0,1,0,4,1,0,0
0,2,0,0,2,9,3,0
213,261,195,295,235,98,120,127
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
170,258,148,260,221,179,97,166
47,57,45,62,72,46,52,51
0,0,0,0,0,0,0,0
175,186,207,256,190,178,117,149
466,489,478,488,529,508,434,388
0,1,0,0,2,1,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
6,0,4,10,1,4,1,4
8,0,3,12,7,5,4,12
0,0,0,0,0,0,0,0
0,1,0,0,1,2,0,0
229,196,287,285,318,226,129,204
0,0,0,0,0,0,0,0
1,2,1,8,5,88,4,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4,1,1,2,4,0,0,1
14,9,18,5,8,14,10,17
3,3,1,5,4,4,2,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1091,1284,877,1203,1173,974,935,1023
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
148,138,194,207,205,206,135,162
2,0,0,0,0,1,0,0
5,1,1,5,0,0,1,3
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0
0,0,2,1,0,0,2,0
0,1,0,0,1,0,0,0
117,92,99,45,102,122,40,38
554,1021,604,608,687,856,807,869
