,HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
21784,1,1,0,0,1,1,1,2
21785,0,1,1,0,0,0,0,0
21786,0,0,0,0,0,0,0,0
21787,0,0,0,0,0,0,0,0
21788,0,0,0,0,0,0,0,0
21789,0,0,0,0,0,0,0,0
21790,1828,2922,2219,3556,4125,2550,2052,2737
21791,0,0,1,0,0,0,0,0
21792,0,0,0,0,0,0,0,0
21793,0,0,0,0,0,0,0,0
21794,441,509,521,745,466,435,345,444
21795,0,0,0,1,0,2,0,0
21796,5,17,10,3,8,3,4,17
21797,655,637,855,770,769,630,388,432
21798,0,0,0,0,0,0,0,0
21799,1,0,0,0,0,0,0,0
21800,0,0,0,0,0,0,0,0
21801,6,8,7,3,2,8,2,8
21802,202,207,266,260,267,180,194,186
21803,0,0,0,0,0,0,0,0
21804,0,0,0,0,0,0,0,0
21805,271,357,363,383,440,355,288,433
21806,330,351,385,399,420,266,197,339
21807,769,896,667,829,1128,758,539,774
21808,0,0,2,0,0,0,0,1
21809,0,0,0,0,0,0,0,0
21810,0,0,0,0,0,0,0,0
21811,0,0,0,0,0,0,0,0
21812,0,0,0,0,0,0,0,0
21813,986,1074,928,896,1130,1148,1124,963
21814,0,0,0,0,0,0,0,0
21815,0,0,0,0,0,0,0,1
21816,0,0,0,0,0,0,0,0
21817,0,0,0,0,0,0,0,0
21818,87,79,91,124,95,68,65,52
21819,0,0,0,0,0,0,0,0
21820,0,0,0,0,0,0,0,0
21821,0,0,1,0,0,0,0,0
21822,0,0,0,0,0,0,0,0
21823,0,0,1,0,2,1,0,1
21824,751,870,857,1387,1162,753,468,587
21825,29,21,26,28,33,20,10,24
21826,0,0,0,0,0,0,0,0
21827,1,3,1,1,0,0,0,0
21828,0,0,0,0,0,0,0,0
21829,0,0,0,0,0,0,0,0
21830,1979,2161,1946,1963,2004,2336,2279,2066
21831,4,6,1,13,13,7,4,6
21832,303,333,388,375,312,347,149,202
21833,5317,4736,5430,4180,3783,4282,3717,4981
21834,0,3,1,2,4,5,4,2
21835,9,4,7,6,1,3,2,3
21836,0,0,0,0,0,0,0,0
21837,0,0,0,0,0,0,0,0
21838,1,0,0,3,5,3,7,3
21839,0,0,0,0,0,0,0,0
21840,0,0,0,0,0,0,0,0
21841,0,0,0,0,0,0,0,0
21842,0,0,0,0,0,0,0,0
21843,69,75,88,153,84,51,42,44
21844,2170,2133,2045,1622,2468,2712,2475,2137
21845,465,470,383,460,541,438,377,275
21846,0,0,0,0,0,0,0,0
21847,117,133,199,74,83,135,50,144
21848,7,0,2,1,5,0,2,0
21849,0,0,0,0,0,0,0,0
21850,1,1,0,0,0,0,0,2
21851,0,0,0,0,0,0,0,0
21852,0,0,0,0,0,0,0,0
21853,0,0,0,0,0,0,0,0
21854,0,0,0,0,0,0,0,0
21855,1,1,0,1,0,2,1,1
21856,0,0,0,0,0,1,0,0
21857,68,49,34,38,56,50,48,54
21858,0,0,0,0,0,0,0,0
21859,0,0,0,1,0,0,0,0
21860,0,0,0,0,0,0,0,0
21861,0,0,0,0,0,0,0,0
21862,4,4,4,9,8,9,5,4
21863,963,866,943,912,787,601,492,819
21864,0,5,1,4,4,4,0,6
21865,1508,1526,1565,1507,1498,1429,863,1527
21866,94,101,80,99,120,152,110,87
21867,388,428,356,480,442,411,500,300
21868,0,0,0,0,0,0,0,0
21869,0,0,0,0,0,0,0,0
21870,0,0,0,0,0,0,0,0
21871,1,0,0,1,3,3,0,1
21872,0,0,0,0,0,0,0,0
21873,1,1,0,0,0,0,0,0
21874,0,0,0,0,0,0,0,0
21875,27,13,3,8,13,8,3,3
21876,0,0,0,0,0,0,0,0
21877,0,0,2,0,0,0,0,0
21878,4,0,0,2,0,0,0,1
21879,0,1,0,2,0,0,0,0
21880,39,29,37,39,51,30,11,21
21881,25,37,57,48,60,46,26,21
21882,31,35,52,45,70,39,15,26
21883,31,40,56,54,67,26,21,41
21884,12,20,25,37,40,30,7,18
21885,13,25,35,28,28,13,8,21
21886,16,28,26,38,43,18,11,20
21887,19,28,41,34,43,38,12,29
21888,0,4,0,2,1,1,0,0
21889,27,27,47,30,45,31,15,21
21890,62,24,31,40,54,52,35,20
21891,1,2,0,0,0,0,0,0
21892,0,0,0,0,0,0,0,0
21893,0,0,0,0,0,0,0,0
21894,1,0,0,0,0,2,1,0
21895,11,14,11,26,14,18,9,8
21896,0,0,0,0,0,0,0,0
21897,170,213,224,229,293,203,133,152
21898,1196,1374,1538,1382,1319,1153,772,1443
21899,33,27,14,44,21,21,25,28
21900,9,3,4,2,10,1,8,22
21901,0,0,0,0,0,0,0,0
21902,0,0,0,0,0,0,0,0
21903,661,811,672,1066,1012,858,983,965
21904,384,412,274,419,431,377,333,343
21905,364,415,225,315,354,316,265,270
21906,254,141,146,76,353,233,48,109
21907,0,0,0,0,0,0,0,0
21908,0,0,0,0,0,0,0,0
21909,0,0,0,0,0,0,0,0
21910,0,0,0,0,0,0,0,0
21911,0,0,0,0,0,0,0,0
21912,0,0,0,0,0,0,0,0
21913,0,0,2,0,0,0,0,0
21914,0,0,0,0,0,0,0,0
21915,0,0,0,0,0,0,0,0
21916,0,0,0,0,0,0,0,0
21917,1095,1250,1252,1565,1430,1376,1042,1200
21918,291,397,430,553,458,391,210,331
21919,2142,3101,2292,2050,2177,2074,1833,2131
21920,0,0,0,0,0,0,0,0
21921,5,4,6,8,16,9,10,10
21922,160,203,199,234,172,161,107,142
21923,0,0,0,0,0,0,0,0
21924,1,1,2,0,1,0,0,0
21925,0,0,0,0,0,0,0,0
21926,0,0,0,0,0,0,0,0
21927,0,0,0,0,0,0,0,1
21928,2,0,0,1,0,0,2,0
21929,0,0,3,2,3,0,0,1
21930,15903,17898,13293,19705,16222,14650,11137,10950
